[Fri Apr 05 12:31:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/course, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:03 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:07:15 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:33 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:08:46 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:09:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:13:50 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:19:57 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:20:25 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:21:53 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:28 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:23:52 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/404.html, referer: http://localhost.dev:8080/
[Tue May 07 12:24:05 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
[Tue May 07 12:24:05 2013] [error] [client 10.0.2.2] File does not exist: /vagrant/public/assets, referer: http://localhost.dev:8080/
